,Precip,MaxTemp,MinTemp,MeanTemp,Snowfall,YR,MO,ELEV,Latitude,Longitude
0,0.0,1.111111111,-3.888888889,-1.111111111,2.54,43,10,62,60.68333333,-46.63333333
1,0.0,2.222222222,-5.0,-1.111111111,22.86,45,2,62,60.68333333,-46.63333333
2,0.0,2.777777778,-7.777777778,-2.222222222,7.62,43,10,11,61.18333333,-45.36666667
3,0.0,30.55555556,25.0,27.77777778,0.0,44,2,50,-5.9,-35.3
4,0.0,-15.0,-21.11111111,-17.77777778,5.08,43,2,50,67.01666667,-50.7
5,0.0,30.55555556,19.44444444,25.0,0.0,45,7,4,36.85,10.01666667
6,0.0,20.0,6.111111111,13.33333333,0.0,44,11,23,36.71666667,3.216666667
7,0.0,-4.444444444,-9.444444444,-7.222222222,45.72,44,3,62,60.68333333,-46.63333333
8,0.0,28.33333333,23.88888889,26.11111111,0.0,44,9,5,-18.83333333,-159.7833333
9,0.0,-3.333333333,-15.0,-8.888888889,5.08,42,12,50,67.01666667,-50.7
10,3.302,1.111111111,-2.777777778,-1.111111111,27.94,43,5,62,60.68333333,-46.63333333
11,0.0,-0.555555556,-7.222222222,-3.888888889,45.72,43,4,62,60.68333333,-46.63333333
12,4.572,0.0,-4.444444444,-2.222222222,43.18,44,5,62,60.68333333,-46.63333333
13,8.636,1.111111111,-3.333333333,-1.111111111,5.08,45,1,11,61.18333333,-45.36666667
14,0.0,10.55555556,-1.666666667,4.444444444,2.54,45,5,50,67.01666667,-50.7
15,0.0,37.22222222,18.88888889,27.77777778,0.0,45,5,443,27.68333333,-8.083333333
16,0.0,32.22222222,20.0,26.11111111,0.0,45,4,5,17.9,-77.18333333
17,0.254,0.555555556,-5.555555556,-2.222222222,2.54,42,10,11,61.18333333,-45.36666667
18,0.0,-0.555555556,-9.444444444,-5.0,38.1,45,4,62,60.68333333,-46.63333333
19,0.0,0.0,-3.888888889,-2.222222222,5.08,44,4,62,60.68333333,-46.63333333
20,1.016,-2.777777778,-12.22222222,-7.777777778,20.32,43,2,11,61.18333333,-45.36666667
21,0.762,1.666666667,-3.333333333,-1.111111111,10.16,44,5,62,60.68333333,-46.63333333
22,4.572,30.0,25.0,27.77777778,0.0,45,12,3,8.716666667,167.7833333
23,0.0,35.0,22.77777778,28.88888889,0.0,45,5,63,12.13333333,-86.23333333
24,2.032,15.55555556,4.444444444,10.0,0.0,42,8,62,60.68333333,-46.63333333
25,3.81,28.33333333,20.0,24.44444444,0.0,45,5,11,19.71666667,-155.0666667
26,0.508,-5.0,-15.0,-10.0,20.32,43,2,11,61.18333333,-45.36666667
27,27.686,28.88888889,20.0,24.44444444,0.0,43,11,16,8.916666667,-79.63333333
28,0.0,5.0,-0.555555556,2.222222222,2.54,42,4,11,61.18333333,-45.36666667
29,0.0,-10.0,-15.55555556,-12.77777778,12.7,44,12,62,60.68333333,-46.63333333
30,0.0,5.0,-4.444444444,0.0,17.78,43,3,11,61.18333333,-45.36666667
31,0.0,-8.888888889,-10.55555556,-10.0,55.88,44,1,62,60.68333333,-46.63333333
32,0.0,-3.888888889,-9.444444444,-6.666666667,7.62,41,11,11,61.18333333,-45.36666667
33,16.002,-1.666666667,-4.444444444,-3.333333333,20.32,44,4,62,60.68333333,-46.63333333
34,0.762,-0.555555556,-15.55555556,-7.777777778,27.94,44,1,11,61.18333333,-45.36666667
35,0.0,30.0,23.33333333,26.66666667,0.0,43,9,3,21.33333333,-157.9
36,0.0,4.444444444,-2.777777778,1.111111111,5.08,44,6,62,60.68333333,-46.63333333
37,0.0,-5.555555556,-18.88888889,-12.22222222,5.08,43,2,50,67.01666667,-50.7
38,0.254,31.66666667,24.44444444,27.77777778,0.0,40,8,9,8.966666667,-79.5
39,0.0,0.0,-2.222222222,-1.111111111,0.0,42,11,11,61.18333333,-45.36666667
40,0.0,-9.444444444,-18.88888889,-14.44444444,20.32,43,2,11,61.18333333,-45.36666667
41,0.0,31.66666667,24.44444444,27.77777778,0.0,44,6,62,5.6,-0.3
42,0.0,-11.66666667,-18.88888889,-15.0,5.08,43,4,50,67.01666667,-50.7
43,0.0,10.0,4.444444444,7.222222222,0.0,45,5,11,61.18333333,-45.36666667
44,0.0,-4.444444444,-11.66666667,-7.777777778,2.54,45,12,20,37.55,126.7
45,0.508,-17.22222222,-25.0,-21.11111111,20.32,44,12,50,67.01666667,-50.7
46,6.096,21.66666667,14.44444444,17.77777778,0.0,43,1,98,25.43333333,81.83333333
47,0.0,-7.222222222,-11.11111111,-8.888888889,2.54,43,11,50,67.01666667,-50.7
48,0.0,-6.666666667,-7.777777778,-7.222222222,5.08,43,12,62,60.68333333,-46.63333333
49,0.0,-0.555555556,-12.22222222,-6.666666667,5.08,45,12,50,67.01666667,-50.7
50,1.778,-3.333333333,-12.22222222,-7.777777778,2.54,42,1,11,61.18333333,-45.36666667
51,0.254,8.888888889,4.444444444,6.666666667,0.0,43,1,754,36.11666667,6.416666667
52,0.0,31.11111111,20.55555556,25.55555556,0.0,44,9,10,-17.75,177.3666667
53,0.0,-17.77777778,-17.77777778,-17.77777778,0.0,42,8,3,21.33333333,-157.9
54,0.0,15.55555556,7.777777778,11.66666667,0.0,43,12,88,35.61666667,0.583333333
55,0.0,-1.111111111,-8.333333333,-4.444444444,7.62,44,10,50,67.01666667,-50.7
56,0.0,-11.66666667,-15.55555556,-13.33333333,7.62,42,12,11,61.18333333,-45.36666667
57,16.002,35.0,21.66666667,28.33333333,0.0,44,4,897,12.95,77.58333333
58,0.0,27.77777778,15.55555556,21.66666667,0.0,43,12,42,21.15,-157.0333333
59,6.604,30.0,20.0,25.0,0.0,45,6,11,19.71666667,-155.0666667
60,0.0,23.33333333,17.22222222,20.0,0.0,45,1,16,20.65,58.83333333
61,0.0,32.22222222,21.11111111,26.66666667,0.0,45,10,5,17.9,-77.18333333
62,2.286,5.555555556,-7.222222222,-1.111111111,10.16,44,3,11,61.18333333,-45.36666667
63,0.0,30.55555556,12.77777778,21.66666667,0.0,44,11,115,24.75,84.96666667
64,0.0,-6.111111111,-11.11111111,-8.333333333,0.0,42,12,8,64.13333333,-21.91666667
65,0.0,-25.55555556,-29.44444444,-27.77777778,22.86,44,12,50,67.01666667,-50.7
66,0.0,4.444444444,-11.11111111,-3.333333333,7.62,43,3,50,67.01666667,-50.7
67,0.0,11.11111111,4.444444444,7.777777778,0.0,44,8,50,67.01666667,-50.7
68,0.0,33.33333333,24.44444444,28.88888889,0.0,42,10,9,12.18333333,-68.96666667
69,0.254,20.55555556,17.77777778,18.88888889,0.0,45,2,6,32.36666667,-64.66666667
70,1.524,3.888888889,-1.666666667,1.111111111,2.54,45,11,62,60.68333333,-46.63333333
71,4.318,12.77777778,4.444444444,8.333333333,0.0,44,2,114,38.11666667,13.36666667
72,4.572,-11.66666667,-19.44444444,-15.55555556,22.86,44,12,50,67.01666667,-50.7
73,0.0,3.888888889,-1.111111111,1.111111111,2.54,45,12,50,63.96666667,-22.61666667
74,0.0,6.111111111,-13.88888889,-3.888888889,17.78,44,2,11,61.18333333,-45.36666667
75,2.794,0.0,-5.0,-2.222222222,5.08,44,1,50,63.96666667,-22.61666667
76,4.572,1.666666667,-8.888888889,-3.333333333,73.66,43,3,62,60.68333333,-46.63333333
77,0.0,-1.111111111,-3.888888889,-2.222222222,30.48,43,4,62,60.68333333,-46.63333333
78,4.064,30.0,18.88888889,25.0,0.0,42,11,123,21.4,-77.86666667
79,0.0,-8.333333333,-12.22222222,-10.0,5.08,42,12,50,67.01666667,-50.7
80,0.0,33.33333333,23.88888889,28.88888889,0.0,45,4,22,8.366666667,-80.0
81,0.0,30.55555556,25.0,27.77777778,0.0,42,10,3,-2.766666667,-171.75
82,0.0,-24.44444444,-36.66666667,-30.55555556,5.08,45,2,50,67.01666667,-50.7
83,0.0,34.44444444,24.44444444,29.44444444,0.0,44,3,16,8.916666667,-79.63333333
84,0.0,30.55555556,14.44444444,22.22222222,0.0,43,10,19,-27.58333333,153.0
85,2.794,1.111111111,-5.0,-2.222222222,5.08,41,11,11,61.18333333,-45.36666667
86,0.0,3.888888889,-3.888888889,0.0,2.54,45,5,62,60.68333333,-46.63333333
87,0.0,-10.0,-20.0,-15.0,5.08,45,1,50,67.01666667,-50.7
88,0.0,26.66666667,23.33333333,25.0,0.0,45,3,10,17.11666667,-61.73333333
89,0.0,26.66666667,20.0,23.33333333,0.0,43,1,5,21.58333333,-158.2166667
90,11.684,31.66666667,18.88888889,25.55555556,0.0,45,12,6,9.516666667,-84.45
91,0.0,28.88888889,21.11111111,25.0,0.0,45,12,2,-27.43333333,153.1333333
92,0.0,21.11111111,5.0,13.33333333,0.0,43,5,27,-27.6,152.8166667
93,0.0,6.111111111,-2.222222222,2.222222222,0.0,42,4,8,64.13333333,-21.91666667
94,1.016,4.444444444,0.555555556,2.222222222,12.7,45,3,50,63.96666667,-22.61666667
95,45.212,4.444444444,-6.666666667,-1.111111111,27.94,43,12,62,60.68333333,-46.63333333
96,0.0,30.55555556,25.55555556,27.77777778,0.0,43,3,12,-10.6,142.1666667
97,0.0,-8.333333333,-12.22222222,-10.0,2.54,43,12,11,61.18333333,-45.36666667
98,0.0,33.33333333,22.22222222,27.77777778,0.0,43,8,48,22.88333333,-82.63333333
99,12.7,-4.444444444,-6.111111111,-5.555555556,27.94,43,12,62,60.68333333,-46.63333333
100,3.048,4.444444444,-8.888888889,-2.222222222,12.7,45,1,11,61.18333333,-45.36666667
101,3.81,-3.888888889,-13.88888889,-8.888888889,15.24,43,11,11,61.18333333,-45.36666667
102,0.0,2.222222222,-12.22222222,-5.0,7.62,45,12,50,67.01666667,-50.7
103,0.0,-5.555555556,-10.0,-7.777777778,27.94,44,1,62,60.68333333,-46.63333333
104,4.572,28.88888889,22.22222222,25.55555556,0.0,44,1,8,13.73333333,-60.85
105,0.0,26.11111111,18.88888889,22.22222222,0.0,43,11,48,22.88333333,-82.63333333
106,0.0,33.88888889,22.22222222,27.77777778,0.0,43,10,16,18.55,-72.35
107,0.0,11.11111111,6.111111111,8.888888889,0.0,44,11,12,43.43333333,5.266666667
108,0.0,-30.0,-35.0,-32.22222222,5.08,42,2,50,67.01666667,-50.7
109,0.0,-2.777777778,-6.666666667,-4.444444444,22.86,45,2,50,63.96666667,-22.61666667
110,0.0,2.777777778,-11.66666667,-4.444444444,2.54,45,2,1727,34.85,48.6
111,0.0,31.66666667,18.33333333,25.0,0.0,42,3,29,6.5,-58.21666667
112,0.0,34.44444444,21.11111111,27.77777778,0.0,44,6,1340,35.71666667,51.48333333
113,0.0,31.66666667,18.33333333,25.0,0.0,44,2,123,21.4,-77.86666667
114,3.556,-3.333333333,-13.88888889,-8.888888889,53.34,44,2,62,60.68333333,-46.63333333
115,0.0,-15.0,-25.0,-20.0,7.62,43,3,50,67.01666667,-50.7
116,8.89,28.88888889,22.77777778,25.55555556,0.0,41,11,29,6.5,-58.21666667
117,0.0,-1.111111111,-10.0,-5.555555556,5.08,42,2,11,61.18333333,-45.36666667
118,7.874,30.0,23.88888889,26.66666667,0.0,43,7,8,13.73333333,-60.85
119,0.0,-3.333333333,-7.777777778,-5.555555556,5.08,43,12,62,60.68333333,-46.63333333
120,33.782,30.0,22.22222222,26.11111111,0.0,44,11,41,10.61666667,-61.01666667
121,0.0,28.33333333,21.11111111,24.44444444,0.0,44,12,10,-17.75,177.3666667
122,4.572,1.666666667,-4.444444444,-1.111111111,48.26,43,4,62,60.68333333,-46.63333333
123,0.0,-11.11111111,-18.88888889,-15.0,2.54,45,3,50,67.01666667,-50.7
124,0.0,31.11111111,18.33333333,24.44444444,0.0,44,10,115,24.75,84.96666667
125,1.524,8.333333333,0.0,4.444444444,17.78,45,4,62,60.68333333,-46.63333333
126,0.0,0.0,-2.222222222,-1.111111111,10.16,42,10,62,60.68333333,-46.63333333
127,0.0,33.33333333,24.44444444,28.88888889,0.0,42,9,167,27.16666667,78.1
128,0.0,31.11111111,22.22222222,26.66666667,0.0,45,7,5,21.58333333,-158.2166667
129,0.0,30.0,22.22222222,26.11111111,0.0,44,5,10,-17.75,177.3666667
130,0.0,-3.333333333,-6.666666667,-5.0,5.08,43,12,62,60.68333333,-46.63333333
131,0.0,24.44444444,15.0,20.0,0.0,45,10,88,35.61666667,0.583333333
132,0.0,-2.777777778,-8.333333333,-5.555555556,2.54,43,10,11,61.18333333,-45.36666667
133,0.0,16.66666667,3.333333333,10.0,0.0,44,3,460,34.75,-1.9
134,57.15,22.22222222,20.0,21.11111111,0.0,42,5,6,32.36666667,-64.66666667
135,0.0,32.22222222,24.44444444,28.33333333,0.0,45,2,62,5.6,-0.3
136,0.0,21.66666667,18.88888889,20.0,0.0,45,9,8,-2.2,-81.08333333
137,0.0,-7.777777778,-11.11111111,-9.444444444,10.16,45,4,50,67.01666667,-50.7
138,0.0,0.0,-1.666666667,-1.111111111,27.94,45,1,62,60.68333333,-46.63333333
139,3.302,0.0,-1.111111111,-0.555555556,17.78,42,11,62,60.68333333,-46.63333333
140,0.0,5.555555556,-1.111111111,2.222222222,7.62,43,5,62,60.68333333,-46.63333333
141,9.906,40.55555556,23.33333333,32.22222222,0.0,43,5,115,24.75,84.96666667
142,0.0,-12.22222222,-17.77777778,-15.0,5.08,42,12,50,67.01666667,-50.7
143,0.0,-2.777777778,-13.33333333,-7.777777778,10.16,44,3,11,61.18333333,-45.36666667
144,0.0,27.22222222,17.22222222,22.22222222,0.0,44,6,4,36.85,10.01666667
145,0.0,19.44444444,9.444444444,14.44444444,0.0,44,10,611,36.38333333,6.65
146,0.0,32.22222222,17.22222222,24.44444444,0.0,44,12,5,13.91666667,-90.83333333
147,0.762,0.555555556,-5.555555556,-2.222222222,22.86,43,5,62,60.68333333,-46.63333333
148,1.016,27.77777778,23.33333333,25.55555556,0.0,43,2,30,-21.25,-175.0
149,0.508,0.555555556,-6.111111111,-2.777777778,2.54,43,3,8,64.13333333,-21.91666667
150,10.668,2.777777778,-5.0,-1.111111111,5.08,44,1,50,63.96666667,-22.61666667
151,0.0,-15.0,-23.33333333,-18.88888889,2.54,42,2,50,67.01666667,-50.7
152,0.0,31.11111111,19.44444444,25.55555556,0.0,44,11,23,8.383333333,-82.33333333
153,71.882,-17.77777778,-17.77777778,-17.77777778,0.0,42,7,1486,14.58333333,-90.55
154,0.0,-11.11111111,-15.0,-13.33333333,2.54,44,1,50,63.96666667,-22.61666667
155,0.0,-3.333333333,-11.66666667,-7.777777778,20.32,44,12,50,67.01666667,-50.7
156,0.0,25.55555556,20.55555556,23.33333333,0.0,44,7,105,42.7,9.366666667
157,0.0,32.22222222,25.0,28.88888889,0.0,43,11,12,-10.6,142.1666667
158,0.0,31.11111111,23.33333333,27.22222222,0.0,45,8,22,8.366666667,-80.0
159,0.0,-3.888888889,-16.11111111,-10.0,5.08,42,2,11,61.18333333,-45.36666667
160,0.0,4.444444444,0.555555556,2.222222222,25.4,45,1,62,60.68333333,-46.63333333
161,0.0,1.666666667,-3.888888889,-1.111111111,30.48,45,4,62,60.68333333,-46.63333333
162,0.0,-1.111111111,-13.33333333,-7.222222222,2.54,45,1,1727,34.85,48.6
163,1.016,-8.333333333,-16.66666667,-12.22222222,7.62,43,12,11,61.18333333,-45.36666667
164,0.0,-13.33333333,-18.88888889,-16.11111111,15.24,45,11,11,61.18333333,-45.36666667
165,0.0,0.0,-4.444444444,-2.222222222,45.72,43,3,62,60.68333333,-46.63333333
166,0.0,35.55555556,25.0,30.0,0.0,43,7,98,25.43333333,81.83333333
167,0.508,-2.222222222,-8.333333333,-7.777777778,22.86,43,11,11,61.18333333,-45.36666667
168,0.0,23.33333333,4.444444444,13.88888889,0.0,45,4,49,41.55,15.73333333
169,2.794,4.444444444,-2.777777778,1.111111111,2.54,43,2,8,64.13333333,-21.91666667
170,0.0,27.77777778,18.33333333,23.33333333,0.0,45,6,26,31.45,27.25
171,0.0,32.22222222,26.66666667,29.44444444,0.0,42,10,9,12.18333333,-68.96666667
172,0.0,-11.11111111,-16.66666667,-13.88888889,17.78,45,11,11,61.18333333,-45.36666667
173,0.0,26.11111111,17.77777778,22.22222222,0.0,45,8,897,12.95,77.58333333
